"","Sentence","Interviewee","State","Region","Verb","Verbal_S","Type_of_Subject","Person","Number","Adjacency","Preceding_Segment","Following_Segment","ThirdSingular","Verbal_aspect","Aspect","Verb_Type","Verb2r","PersonNumber"
"12","I reckon though I was a purty worrisome nigger in dem days","Anthony Abercrombie","AL","Mountain","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"13","and de doctor say I got a catalac on de uther one","Anthony Abercrombie","AL","Mountain","say","0","NP","Third","Singular","A","irregular","V","T","dynamic","habitual","rest","say","Third - Singular"
"14","When de Lawd git th'ough a punishin' him fo' a stealin' dat money","Caroline Holland","AL","Gulf","get","0","NP","Third","Singular","A","C","C","T","dynamic","non-habitual","rest","get","Third - Singular"
"15","I guess he won't make us no mo visit.","Caroline Holland","AL","Gulf","guess","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","guess","First - Singular"
"16","an' he look at his ole cabin","Caroline Holland","AL","Gulf","look","0","Pronoun","Third","Singular","A","C","V","T","dynamic","habitual","rest","look","Third - Singular"
"17","Sometime he sit on de fence","Caroline Holland","AL","Gulf","sit","0","Pronoun","Third","Singular","A","C","V","T","dynamic","habitual","rest","sit","Third - Singular"
"18","den sometimes he stroll off down de cotton fiel'","Caroline Holland","AL","Gulf","stroll","0","Pronoun","Third","Singular","A","C","V","T","dynamic","habitual","rest","infrequent","Third - Singular"
"19","I calls it a harricane","Cornelia Robinson","AL","Gulf","call","s","Pronoun","First","Singular","A","C","V","N","dynamic","habitual","rest","call","First - Singular"
"20","I 'members a storm us had.","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","N","C","V","N","state","non-habitual","rest","remember","First - Singular"
"21","I 'members dat Ol Mistus saved all her jewels an' sech frum de Yankees.","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"22","I 'members de high, four-poster beds us useter sometimes sleep on","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"23","I 'members dat de mud fireplaces of early times wuz far back, deep an wide.","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"24","I 'members dat George Hawkins an' his wife taught it","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"25","I 'members my mother goin' to corn shuckin's","Cornelia Robinson","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"26","I does 'member how mah maw was a-weavin' cloth when de Yankees come through.","Cull Taylor","AL","Gulf","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"27","I 'members  as a li'l boy how dey had one house whar de nurse kepy de chillun","Cull Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"28","I 'members de big milk diary","Cull Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"29","I 'members mah paw was out in de woods hidin' de mules when dey come through","Cull Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"30","I 'members how de men would go out nights an' hunt de possums","Cull Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"31","I 'members dat when I was a strip of a boy","Everett Ingram","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"32","I 'members dat de overseer useta whip mammy an' pappy","Everett Ingram","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"33","I 'members dat Mistus read de Bible to us an' my mammy was converted by de white pracher.","Everett Ingram","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"34","Honey, I 'members dat he had regular days to whup all de slaves wid strops.","Everett Ingram","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"35","De shirts'd stick, you see.","Everett Ingram","AL","Gulf","see","0","Pronoun","Second","","A","V","P","N","dynamic","discourse","rest","see","Second - "
"36","I disremember our carriage driver'sname but us had one dat drove Mistiss about","Frank Menefee","AL","Gulf","disremember","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","disremember","First - Singular"
"37","but I sho' feels safer in hit","Frank Menefee","AL","Gulf","feel","s","Pronoun","First","Singular","A","C","S","N","state","non-habitual","rest","feel","First - Singular"
"38","an' I jined 'caze I wants to be better dan I was an' try to be saved","Frank Menefee","AL","Gulf","want","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"39","but I believes I'd lack it betta dan I does now.","George Taylor","AL","Gulf","believe","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","believe","First - Singular"
"40","but I believes I'd lack it betta dan I does now.","George Taylor","AL","Gulf","believe","s","Pronoun","First","Singular","A","irregular","C","N","state","non-habitual","rest","believe","First - Singular"
"41","but now dey cuss if you say anything to dem","George Taylor","AL","Gulf","cuss","0","Pronoun","Third","Plural","A","S","V","N","dynamic","habitual","rest","infrequent","Third - Plural"
"42","I knows dat mah paw said I was too crazy 'bout de girls","George Taylor","AL","Gulf","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"43","but I knows us had plenty ob cotton","George Taylor","AL","Gulf","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"44","An' den I knows durin' cotton time mah paw hauled cotton all day long to de gin whut was run by five or six mules","George Taylor","AL","Gulf","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"45","You know, Miss, I'se been here a long time.","George Taylor","AL","Gulf","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"46","I know b'fore dey got dere ol' Marster had mah paw","George Taylor","AL","Gulf","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"47","I knows I ain't here for long, but I'se ready","George Taylor","AL","Gulf","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"48","I 'members dat atter I got to be a big boy dey put me in de fiel's choppin' cotton","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"49","Den I 'members how dere was four men who put de hogs in de pens to featten","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"50","I also 'members de time I was put up on de block to be sold","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","N","C","C","N","state","non-habitual","rest","remember","First - Singular"
"51","I 'members when dere was only one house 'tween St. Louis Street ","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"52","I also 'members de ole time remedies dat dey used in de ole days.","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","N","C","C","N","state","non-habitual","rest","remember","First - Singular"
"53","I 'members when de Yankees come through","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"54","I eben 'members seeing Jeff Davis.","George Taylor","AL","Gulf","remember","s","Pronoun","First","Singular","N","C","S","N","state","non-habitual","rest","remember","First - Singular"
"55","but now dey cuss if you say anything to dem","George Taylor","AL","Gulf","say","0","Pronoun","Second","","A","V","V","N","dynamic","habitual","rest","say","Second - "
"56","You see us was allus under his direction","George Taylor","AL","Gulf","see","0","Pronoun","Second","","A","V","V","N","dynamic","discourse","rest","see","Second - "
"57","My! When I think ob dat bigs smoke house, mah mout jes' waters","George Taylor","AL","Gulf","think","0","Pronoun","First","Singular","A","C","V","N","dynamic","habitual","rest","think","First - Singular"
"58","if de white folks treat de niggers right","George Taylor","AL","Gulf","treat","0","NP","Third","Plural","A","C","C","N","dynamic","habitual","rest","treat","Third - Plural"
"59","My! When I think ob dat bigs smoke house, mah mout jes' waters","George Taylor","AL","Gulf","water","s","NP","Third","Singular","N","C","P","T","dynamic","habitual","rest","infrequent","Third - Singular"
"60","Dere is one t'ing I does 'member, and dat was when dey cut watermelons at de oberseer's house","Henry Barnes","AL","Gulf","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"61","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","eat","s","Pronoun","Third","Singular","N","C","V","T","dynamic","habitual","rest","eat","Third - Singular"
"62","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","eat","s","Pronoun","Third","Singular","N","C","V","T","dynamic","habitual","rest","eat","Third - Singular"
"63","Sometimes I gits to studyin' 'bout all de folks mos' is dead","Henry Barnes","AL","Gulf","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"64","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","grunt","s","Pronoun","Third","Singular","N","C","V","T","dynamic","habitual","rest","grunt","Third - Singular"
"65","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","grunt","s","Pronoun","Third","Singular","N","C","V","T","dynamic","habitual","rest","grunt","Third - Singular"
"66","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","knock","0","Pronoun","Third","Plural","A","C","V","N","dynamic","habitual","rest","knock","Third - Plural"
"67","I 'member atter I got a big boy, my mammy had a bed made outten lumber","Henry Barnes","AL","Gulf","remember","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"68","I 'members us's Ole Mistist, Miss Dell.","Henry Barnes","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"69","I members all de big boats on de ribber","Henry Barnes","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"70","Den, I 'members atter I growed up dey tell 'bout how de Yankees comin' here","Henry Barnes","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"71","I 'members when us would be plowin' down by de ribber","Henry Barnes","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"72","an' he jes set on he hin' quarters an' grunts an' eats an' eats an' grunts, 'twell dey knock him in de head.","Henry Barnes","AL","Gulf","sit","0","Pronoun","Third","Singular","N","C","V","T","dynamic","habitual","rest","sit","Third - Singular"
"73","but I 'spec's hit won't be long twell I is ober de ribber wid de bles'","Henry Barnes","AL","Gulf","spect","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"74","Sometimes I wishes dat I could be back to de ol' place, 'caze us did hab plenty to eat","Henry Barnes","AL","Gulf","wish","s","Pronoun","First","Singular","A","S","C","N","state","habitual","rest","wish","First - Singular"
"75","Dat's whar he b'long at.","Henry Garry","AL","Gulf","belong","0","Pronoun","Third","Singular","A","C","V","T","state","non-habitual","rest","belong","Third - Singular"
"76","Den de fust thing dey know dey gits tangled up wid somebody wid a razor or a meat axe or somp'n an' 'long come de law, locks 'em up an' de debil's to pay","Henry Garry","AL","Gulf","come","0","NP","Third","Singular","A","V","C","T","dynamic","habitual","rest","come","Third - Singular"
"77","You don't know nobody  what don't want to hire nobody to do nothin' does you?","Henry Garry","AL","Gulf","do","s","Pronoun","Second","","A","irregular","C","N","aux","non-habitual","dhg","do","Second - "
"78","an' dem rapscallions git out on Sat'd'y night, fill up on gin an' git all lit up lak a meetin' house.","Henry Garry","AL","Gulf","fill up","0","NP","Third","Plural","N","C","V","N","dynamic","habitual","rest","infrequent","Third - Plural"
"79","but I gits all bumfuzzled tryin' to fin' anybody in dis new buildin'.","Henry Garry","AL","Gulf","get","s","Pronoun","First","Singular","A","C","V","N","dynamic","habitual","rest","get","First - Singular"
"80","an' dem rapscallions git out on Sat'd'y night, fill up on gin an' git all lit up lak a meetin' house.","Henry Garry","AL","Gulf","get","0","NP","Third","Plural","A","C","V","N","dynamic","habitual","rest","get","Third - Plural"
"81","an' dem rapscallions git out on Sat'd'y night, fill up on gin an' git all lit up lak a meetin' house.","Henry Garry","AL","Gulf","get","0","NP","Third","Plural","N","C","V","N","dynamic","habitual","rest","get","Third - Plural"
"82","Den de fust thing dey know dey gits tangled up wid somebody wid a razor or a meat axe or somp'n an' 'long come de law, locks 'em up an' de debil's to pay","Henry Garry","AL","Gulf","get","s","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","get","Third - Plural"
"83","Lissen, Cap'm, iffen I gits dat no'count nevvew otten jail I sho' would lak to git him a job. ","Henry Garry","AL","Gulf","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"84","I goes down der to visit her twicet a yeah","Henry Garry","AL","Gulf","go","s","Pronoun","Third","Singular","A","V","C","T","dynamic","habitual","dhg","go","Third - Singular"
"85","What she got it an' plenty.","Henry Garry","AL","Gulf","got","0","Pronoun","Third","Singular","A","C","V","T","state","non-habitual","rest","got","Third - Singular"
"86","I got to git up to Jedge Ab's co'te","Henry Garry","AL","Gulf","got","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","got","First - Singular"
"87","Onlies' kinfolks I hab lef' down dah is a cousin.","Henry Garry","AL","Gulf","have","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","have","First - Singular"
"88","Den de fust thing dey know dey gits tangled up wid somebody wid a razor or a meat axe or somp'n an' 'long come de law, locks 'em up an' de debil's to pay","Henry Garry","AL","Gulf","know","0","Pronoun","Third","Plural","A","V","C","N","state","non-habitual","rest","know","Third - Plural"
"89","She mos' a hundert yeahs ole an' still libs on her little farm a few miles from Gainesville.","Henry Garry","AL","Gulf","live","s","Pronoun","Third","Singular","N","C","V","T","dynamic","non-habitual","rest","live","Third - Singular"
"90","Den de fust thing dey know dey gits tangled up wid somebody wid a razor or a meat axe or somp'n an' 'long come de law, locks 'em up an' de debil's to pay","Henry Garry","AL","Gulf","lock up","s","NP","Third","Singular","A","C","V","T","dynamic","habitual","rest","infrequent","Third - Singular"
"91","An Cap'n when I says libs, I means libs.","Henry Garry","AL","Gulf","mean","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","mean","First - Singular"
"92","de 'mount of grub I puts away endurin' dem two weeks I stays dar.","Henry Garry","AL","Gulf","put","s","Pronoun","Third","Singular","A","C","V","T","dynamic","habitual","rest","put","Third - Singular"
"93","I 'members one night atter supper","Henry Garry","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"94","An Cap'n when I says libs, I means libs.","Henry Garry","AL","Gulf","say","s","Pronoun","First","Singular","A","irregular","C","N","dynamic","habitual","rest","say","First - Singular"
"95","Seems lak dar warn't no trouble ","Henry Garry","AL","Gulf","seem","s","NP","Third","Singular","A","C","C","T","state","non-habitual","rest","seem","Third - Singular"
"96","I 'spect I'se gwine to hab to git him out ag'in","Henry Garry","AL","Gulf","spect","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","spect","First - Singular"
"97","I 'speck 'bout de las' thing dat 'll happen to dis ole nigguh will be to haul him away from de Morris Hotel in a black box.","Henry Garry","AL","Gulf","spect","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"98","de 'mount of grub I puts away endurin' dem two weeks I stays dar.","Henry Garry","AL","Gulf","stay","s","Pronoun","First","Singular","A","V","C","N","dynamic","non-habitual","rest","stay","First - Singular"
"99","now dey kin buy all the gin dey wants right here in Bummin' ham","Henry Garry","AL","Gulf","want","s","Pronoun","Third","Plural","A","C","C","N","state","non-habitual","rest","want","Third - Plural"
"100","I guess it was 'cause he was so rich.","Irene Poole","AL","Gulf","guess","0","Pronoun","First","Singular","A","S","V","N","state","non-habitual","rest","guess","First - Singular"
"101","You know if he was livin' today he would be a hundred an' sixteen years ole.","Irene Poole","AL","Gulf","know","0","Pronoun","Second","","A","V","V","N","state","non-habitual","rest","know","Second - "
"102","I reckon some of de mens would be glad to get some now 'cause gals dese days is got too much mouf.","Irene Poole","AL","Gulf","reckon","0","Pronoun","First","Singular","A","C","S","N","state","non-habitual","rest","reckon","First - Singular"
"103","I spec' he made lots o' his money on dem horses","Irene Poole","AL","Gulf","spect","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"104","I b'longs to de Baptis' Church, an' dey calls me Ma Eppes ","Katherine Eppes","AL","Gulf","belong","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","belong","First - Singular"
"105","I b'longs to de Baptis' Church, an' dey calls me Ma Eppes ","Katherine Eppes","AL","Gulf","call","s","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","call","Third - Plural"
"106","I hopes you is","Katherine Eppes","AL","Gulf","hope","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","hope","First - Singular"
"107","I loves to sing de gospel Hymns","Katherine Eppes","AL","Gulf","love","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","love","First - Singular"
"108","Ah 'members one thing jes' lack it was yestiddy.","Katherine Eppes","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"109","I sees pretty good, too","Katherine Eppes","AL","Gulf","see","s","Pronoun","First","Singular","A","V","C","N","dynamic","non-habitual","rest","see","First - Singular"
"110","I can tell you mo'n anything you want to know 'bout be big fight","Katherine Eppes","AL","Gulf","want","0","Pronoun","Second","","A","C","C","N","state","non-habitual","rest","want","Second - "
"111","Peer lak to me he jus' plum forgit","Lilah Walker","AL","Mountain","appear","0","Null","Third","Singular","A","C","C","T","state","non-habitual","rest","appear","Third - Singular"
"112","Sometimes in de early mornin' I still hears an sees two pair of wings","Lilah Walker","AL","Mountain","hear","s","Pronoun","First","Singular","N","C","V","N","state","habitual","rest","hear","First - Singular"
"113","I hears dem quare wings a-whirrin'","Lilah Walker","AL","Mountain","hear","s","Pronoun","First","Singular","A","C","C","N","state","habitual","rest","hear","First - Singular"
"114","dey says when de sun swing low lak dis dat de miassahs whut make you sick 'gin to rise otten yon' swamp","Lilah Walker","AL","Mountain","say","s","Pronoun","Third","Plural","A","irregular","C","N","dynamic","habitual","rest","say","Third - Plural"
"115","Sometimes in de early mornin' I still hears an sees two pair of wings","Lilah Walker","AL","Mountain","see","s","Pronoun","First","Singular","N","V","C","N","dynamic","habitual","rest","see","First - Singular"
"116","Dey give folks trouble and dey's full of evil doings","Mandy Leslie","AL","Gulf","give","0","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","give","Third - Plural"
"117","I always notice dat when I lives t'rough March, I lives de res' of de year, and ain't March jes' now gone huh?","Mandy Leslie","AL","Gulf","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"118","I always notice dat when I lives t'rough March, I lives de res' of de year, and ain't March jes' now gone huh?","Mandy Leslie","AL","Gulf","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"119","I always notice dat when I lives t'rough March, I lives de res' of de year, and ain't March jes' now gone huh?","Mandy Leslie","AL","Gulf","notice","0","Pronoun","First","Singular","N","S","C","N","dynamic","habitual","rest","notice","First - Singular"
"120","I 'members de war","Mandy Leslie","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"121","I 'spects I ought to done dat","Mandy Leslie","AL","Gulf","spect","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","spect","First - Singular"
"122","an' us seed whut I reckon' was de Ku Klux Klan","Nicey Pugh","AL","Gulf","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"123","I remembers one day when me an' anudder little nigger gal was agoin' atter de cows down in de fiel'","Nicey Pugh","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"124","I sometimes wish I could be back on de ole place","Nicey Pugh","AL","Gulf","wish","0","Pronoun","First","Singular","N","S","V","N","state","habitual","rest","wish","First - Singular"
"125","I believe God intended for all us to be religious.","Sally Murphy","AL","Gulf","believe","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","believe","First - Singular"
"126","folks get so sinful","Sally Murphy","AL","Gulf","get","0","NP","Third","Plural","A","C","S","N","dynamic","habitual","rest","get","Third - Plural"
"127","Slavery was all right in its place, I guess","Sally Murphy","AL","Gulf","guess","0","Pronoun","First","Singular","A","S","P","N","state","non-habitual","rest","guess","First - Singular"
"128","Lawdy chile you knows I know Mr. Pompy","Sally Murphy","AL","Gulf","know","s","Pronoun","Second","","A","V","V","N","state","non-habitual","rest","know","Second - "
"129","Lawdy chile you knows I know Mr. Pompy","Sally Murphy","AL","Gulf","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"130","I'll tell you anything I knows","Sally Murphy","AL","Gulf","know","s","Pronoun","First","Singular","A","V","P","N","state","non-habitual","rest","know","First - Singular"
"131","And I lives now wid my neice Sally Thomas","Sally Murphy","AL","Gulf","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"132","I don't know what I think 'bout Abraham Lincouln","Sally Murphy","AL","Gulf","think","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"133","I got to get goin'","Siney Booner","AL","Mountain","got","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","got","First - Singular"
"134","I recollect when de new brick court house was built.","Siney Booner","AL","Mountain","recollect","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","recollect","First - Singular"
"135","I 'members dat mighty well.","Siney Booner","AL","Mountain","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"136","dey sho 'mind me of dem good old days in Pickens county.","Siney Booner","AL","Mountain","remind","0","NP","Third","Plural","N","C","C","N","dynamic","habitual","rest","remind","Third - Plural"
"137","I speck dat picture still dere.","Siney Booner","AL","Mountain","spect","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"138","Iffen you gits conju'ed, de dime turn black an' you kin go to de conju' doctor an' git de conju' took off.","Tildy Collins","AL","Gulf","get","s","Pronoun","Second","","A","C","C","N","dynamic","habitual","rest","get","Second - "
"139","Co'se I means dat.","Tildy Collins","AL","Gulf","mean","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","mean","First - Singular"
"140","I remembers when dey went off wid de sojers","Tildy Collins","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"141","Iffen you gits conju'ed, de dime turn black an' you kin go to de conju' doctor an' git de conju' took off.","Tildy Collins","AL","Gulf","turn","0","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","infrequent","Third - Singular"
"142","an' I guess we looked a sight","Tom Baker","AL","Gulf","guess","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","guess","First - Singular"
"143","Sho I recollects about de slabery days.","Tom Baker","AL","Gulf","recollect","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","recollect","First - Singular"
"144","an' I members a story bout somp'n dat happen to me a way back dar.","Tom Baker","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"145","I guess you wants to know is wahr an' when I was born","Tom McAlpin","AL","Mountain","guess","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","guess","First - Singular"
"146","I recalls de time dat de 'federate soldiers, ","Tom McAlpin","AL","Mountain","recall","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","infrequent","First - Singular"
"147","Sho I 'members de war","Tom McAlpin","AL","Mountain","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"148","I 'members when de war commence, Jeff Davis called for volunteers","Tom McAlpin","AL","Mountain","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"149","It jes seem lak you let a nigger go widout a boss an he jes' no good","Tom McAlpin","AL","Mountain","seem","0","Pronoun","Third","Singular","N","C","C","T","state","non-habitual","rest","seem","Third - Singular"
"150","Jus' you set down in dat chair","Tom McAlpin","AL","Mountain","sit","0","Pronoun","Second","","A","C","C","N","dynamic","non-habitual","rest","sit","Second - "
"151","I guess you wants to know is wahr an' when I was born","Tom McAlpin","AL","Mountain","want","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"152","I feel dat misery comin' on me now.","Walter Calloway","AL","Mountain","feel","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","feel","First - Singular"
"153","When de war started 'mos' all I know 'bout it was all de white mens go to Montgomery an' jine de army.","Walter Calloway","AL","Mountain","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
